,Date,Province_Id,Daily_Total,Daily_100k,N_Day_Rate,NDR_Change,NDRC_Sliding_Window
2181,2020-05-03,40,68.0,1.5540537606615517,12.298134859916459,0.7324862333652883,0.9420261375234914
64,2020-05-04,10,93,4.680022343332478,14.64818888185669,0.9436195562457356,0.9400307450834967
722,2020-05-04,20,15.0,1.344212493110911,14.892280990365515,0.8812018933611289,0.9583484176413586
1452,2020-05-04,30,11,0.8643803021873536,13.791240359951495,1.0560772935627474,0.9590374149957409
2182,2020-05-04,40,119.0,2.719594081157715,15.655346485876391,1.272985429433056,0.9670469028253111
2183,2020-05-05,40,107.0,2.4453492998645,14.157672472615552,0.9043346619883514,0.9877348057464251
1453,2020-05-05,30,16,1.2572804395452417,14.86489271985975,1.0778503116388316,0.9812538574160224
723,2020-05-05,20,20.0,1.7922833241478815,15.103122283346082,1.0141577568350322,0.9513413363225601
65,2020-05-05,10,71,3.572920283619419,13.996020223633021,0.9554778639541269,0.949754871847091
2184,2020-05-06,40,124.0,2.833862740029888,15.485670470551998,1.0938005876675791,0.9808454848631126
1454,2020-05-06,30,22,1.7287606043747072,16.350050772739355,1.0999104454279316,0.9456535766405952
66,2020-05-06,10,78,3.925180029891756,17.55563672147339,1.254330619773596,0.9648356783161579
724,2020-05-06,20,24.0,2.1507399889774574,17.26102741058635,1.142878080886609,0.9347565195505274
67,2020-05-07,10,89,4.478731059748285,20.482478030789395,1.1667180379584867,0.984511967623119
725,2020-05-07,20,44.0,3.943023313125339,22.63321801976685,1.3112323780846142,0.996377717812486
1455,2020-05-07,30,14,1.1001203846020866,20.16041812074952,1.2330492670006405,0.9823676217239987
2185,2020-05-07,40,147.0,3.3594985708418834,20.686053951561515,1.3358190716313327,0.981831558357966
68,2020-05-08,10,87,4.378085417956189,23.335378765142995,1.1392849405264882,1.0295933473324985
726,2020-05-08,20,23.0,2.0611258227700637,21.471324558021305,0.9486642394055145,1.0071013983692998
1456,2020-05-08,30,11,0.8643803021873536,20.1849648712312,1.0012175714975087,1.0144349344485615
2186,2020-05-08,40,121.0,2.7653015447065843,18.4715353561895,0.8929463008963655,0.9944692863754118
69,2020-05-09,10,56,2.818077970178696,17.346590013242857,0.7433601223201127,0.9850209658016519
727,2020-05-09,20,27.0,2.41958248759964,18.66605211624041,0.8693479559586419,1.001054542673721
1457,2020-05-09,30,9,0.7072202472441985,16.013773792642727,0.7933515809812728,0.9997346925522772
2187,2020-05-09,40,92.0,2.1025433232479815,13.738231697934518,0.7437514766920049,0.9965891088105684
2188,2020-05-10,40,62.0,1.416931370014944,13.094037245179397,0.9531093617490836,1.028106698579682
1458,2020-05-10,30,10,0.785800274715776,13.01545721770782,0.8127663963685788,1.0106032666396445
728,2020-05-10,20,18.0,1.613054991733093,11.863210664734329,0.6355500665517125,0.9718617672976075
70,2020-05-10,10,34,1.710975910465637,10.75610860502127,0.6200704920569268,0.9746945189764961
71,2020-05-11,10,77,3.8748572089957074,12.211383326417337,1.1352975109154906,1.0020770839293183
729,2020-05-11,20,10.0,0.8961416620739407,12.40030474124708,1.0452739221861218,0.9953006285583209
1459,2020-05-11,30,16,1.2572804395452417,11.555041857544339,0.88779377199469,0.9865627635584934
2189,2020-05-11,40,103.0,2.3539343727667617,12.492044860296158,0.9540254565027403,0.9825409881610654
72,2020-05-12,10,61,3.069692074658937,14.775936660239319,1.2100133347115547,1.0384392940375222
730,2020-05-12,20,21.0,1.8818974903552754,15.044779158861502,1.2132588249075942,1.0237436382829725
1460,2020-05-12,30,12,0.9429603296589312,14.276763578054796,1.235544081455095,1.0090904449608167
2190,2020-05-12,40,94.0,2.1482507867968508,12.550157155855938,1.0046519441940591,0.9968720284761664
73,2020-05-13,10,53,2.6671095074905518,14.321125001272549,0.9692194363426972,0.9977091249759653
731,2020-05-13,20,19.0,1.7026691579404871,14.766513719667795,0.9815041858537481,1.0006902247068497
1461,2020-05-13,30,15,1.1787004120736642,13.591279758974697,0.9519860495460066,0.987958388406256
2191,2020-05-13,40,87.0,1.9882746643758085,12.50986234869157,0.9967892985988971,0.9830132728949262
1462,2020-05-14,30,5,0.392900137357888,11.020864995694183,0.8108776503122748,0.9276481574507753
2192,2020-05-14,40,93.0,2.125397055022416,12.203301721057667,0.9754944843445086,0.9315383318539513
74,2020-05-14,10,52,2.6167866865945038,12.67183762085532,0.8848353477627856,0.9574401692337223
732,2020-05-14,20,36.0,3.226109983466186,13.230838096830954,0.89600283100056,0.9413717179805562
1463,2020-05-15,30,30,2.3574008241473283,13.885569763037795,1.2599346574395789,0.9646077411567854
2193,2020-05-15,40,108.0,2.468203031638935,15.175072382603064,1.2435218541239044,0.9816205537435998
75,2020-05-15,10,62,3.120014895554985,16.306812613782242,1.2868546063867232,0.9785215500708987
733,2020-05-15,20,16.0,1.4338266593183049,17.347739135742657,1.3111595054509646,0.993156755987049
2194,2020-05-16,40,52.0,1.1883940522705982,16.41073613299084,1.0814272063574708,1.0298599436958091
1464,2020-05-16,30,21,1.65018057690313,15.444130023299467,1.1122431622799107,1.010163681342305
76,2020-05-16,10,23,1.1574248806091074,13.375444920442389,0.8202366236267221,0.9895039074004144
734,2020-05-16,20,8.0,0.7169133296591524,11.734957425954212,0.6764545704849763,0.9656005580622397
77,2020-05-17,10,16,0.8051651343367704,10.07191952865205,0.7530156632964493,1.0084960747203462
735,2020-05-17,20,11.0,0.9857558282813348,7.937660461378398,0.6764115261145021,0.9714379094283524
1465,2020-05-17,30,3,0.2357400824147328,6.739573884474826,0.4363841714818062,0.956394792072766
2195,2020-05-17,40,30.0,0.6856119532330375,6.236791785437265,0.3800433895771021,0.9479933762426688
1466,2020-05-18,30,10,0.785800274715776,5.372411483249912,0.7971440888311518,0.9434448373351177
2196,2020-05-18,40,73.0,1.6683224195337245,5.883309022174529,0.9433229815226302,0.9464644512455103
