,Date,Province_Id,Work_Commute_Allowed,Leisure_Travel_Allowed,Holiday,Vacation
293,2021-01-02,20,1,1,1,1
294,2021-01-03,20,1,1,1,1
295,2021-01-04,20,1,1,0,0
296,2021-01-05,20,1,1,0,0
297,2021-01-06,20,1,1,0,0
298,2021-01-07,20,1,1,0,0
299,2021-01-08,20,1,1,0,0
300,2021-01-09,20,1,1,0,0
301,2021-01-10,20,1,1,0,0
302,2021-01-11,20,1,1,0,0
303,2021-01-12,20,1,1,0,0
304,2021-01-13,20,1,1,0,0
305,2021-01-14,20,1,1,0,0
306,2021-01-15,20,1,1,0,0
307,2021-01-16,20,1,1,0,0
308,2021-01-17,20,1,1,0,0
309,2021-01-18,20,1,1,0,0
310,2021-01-19,20,1,1,0,0
311,2021-01-20,20,1,1,0,0
312,2021-01-21,20,1,1,0,0
313,2021-01-22,20,1,1,0,0
314,2021-01-23,20,1,1,0,0
315,2021-01-24,20,1,1,0,0
316,2021-01-25,20,1,1,0,0
317,2021-01-26,20,1,1,0,0
318,2021-01-27,20,1,1,0,0
319,2021-01-28,20,1,1,0,0
320,2021-01-29,20,1,1,0,0
321,2021-01-30,20,1,1,0,0
322,2021-01-31,20,1,1,0,0
323,2021-02-01,20,1,1,0,0
324,2021-02-02,20,1,1,0,0
325,2021-02-03,20,1,1,0,0
326,2021-02-04,20,1,1,0,0
327,2021-02-05,20,1,1,0,0
328,2021-02-06,20,1,1,0,0
329,2021-02-07,20,1,1,0,0
330,2021-02-08,20,1,1,0,0
331,2021-02-09,20,1,1,0,0
332,2021-02-10,20,1,1,0,0
333,2021-02-11,20,1,1,0,0
334,2021-02-12,20,1,1,0,0
335,2021-02-13,20,1,1,0,1
336,2021-02-14,20,1,1,0,1
337,2021-02-15,20,1,1,0,1
338,2021-02-16,20,1,1,0,1
339,2021-02-17,20,1,1,0,1
340,2021-02-18,20,1,1,0,1
341,2021-02-19,20,1,1,0,1
342,2021-02-20,20,1,1,0,1
343,2021-02-21,20,1,1,0,1
344,2021-02-22,20,1,1,0,0
345,2021-02-23,20,1,1,0,0
346,2021-02-24,20,1,1,0,0
347,2021-02-25,20,1,1,0,0
348,2021-02-26,20,1,1,0,0
349,2021-02-27,20,1,1,0,0
350,2021-02-28,20,1,1,0,0
351,2021-03-01,20,1,1,0,0
352,2021-03-02,20,1,1,0,0
353,2021-03-03,20,1,1,0,0
354,2021-03-04,20,1,1,0,0
355,2021-03-05,20,1,1,0,0
356,2021-03-06,20,1,1,0,0
357,2021-03-07,20,1,1,0,0
358,2021-03-08,20,1,1,0,0
359,2021-03-09,20,1,1,0,0
360,2021-03-10,20,1,1,0,0
361,2021-03-11,20,1,1,0,0
362,2021-03-12,20,1,1,0,0
363,2021-03-13,20,1,1,0,0
364,2021-03-14,20,1,1,0,0
365,2021-03-15,20,1,1,0,0
366,2021-03-16,20,1,1,0,0
367,2021-03-17,20,1,1,0,0
368,2021-03-18,20,1,1,0,0
369,2021-03-19,20,1,1,0,0
370,2021-03-20,20,1,1,0,0
371,2021-03-21,20,1,1,0,0
372,2021-03-22,20,1,1,0,0
373,2021-03-23,20,1,1,0,0
374,2021-03-24,20,1,1,0,0
375,2021-03-25,20,1,1,0,0
376,2021-03-26,20,1,1,0,0
377,2021-03-27,20,1,1,0,0
378,2021-03-28,20,1,1,0,0
379,2021-03-29,20,1,1,0,0
380,2021-03-30,20,1,1,0,0
381,2021-03-31,20,1,1,0,0
382,2021-04-01,20,1,1,0,0
383,2021-04-02,20,1,1,1,0
384,2021-04-03,20,1,1,1,1
385,2021-04-04,20,1,1,1,1
386,2021-04-05,20,1,1,1,1
387,2021-04-06,20,1,1,0,1
388,2021-04-07,20,1,1,0,1
389,2021-04-08,20,1,1,0,1
390,2021-04-09,20,1,1,0,1
391,2021-04-10,20,1,1,0,1
392,2021-04-11,20,1,1,0,1
393,2021-04-12,20,1,1,0,1
394,2021-04-13,20,1,1,0,1
395,2021-04-14,20,1,1,0,1
396,2021-04-15,20,1,1,0,1
397,2021-04-16,20,1,1,0,1
398,2021-04-17,20,1,1,0,1
399,2021-04-18,20,1,1,0,1
400,2021-04-19,20,1,1,0,0
401,2021-04-20,20,1,1,0,0
402,2021-04-21,20,1,1,0,0
403,2021-04-22,20,1,1,0,0
404,2021-04-23,20,1,1,0,0
405,2021-04-24,20,1,1,1,0
406,2021-04-25,20,1,1,1,0
407,2021-04-26,20,1,1,1,0
408,2021-04-27,20,1,1,1,0
409,2021-04-28,20,1,1,0,0
410,2021-04-29,20,1,1,0,0
411,2021-04-30,20,1,1,0,0
412,2021-05-01,20,1,1,0,0
413,2021-05-02,20,1,1,0,0
414,2021-05-03,20,1,1,0,0
415,2021-05-04,20,1,1,0,0
416,2021-05-05,20,1,1,0,0
417,2021-05-06,20,1,1,0,0
418,2021-05-07,20,1,1,0,0
419,2021-05-08,20,1,1,0,0
420,2021-05-09,20,1,1,0,0
421,2021-05-10,20,1,1,0,0
422,2021-05-11,20,1,1,0,0
423,2021-05-12,20,1,1,0,0
424,2021-05-13,20,1,1,1,1
425,2021-05-14,20,1,1,1,1
426,2021-05-15,20,1,1,1,1
427,2021-05-16,20,1,1,1,1
428,2021-05-17,20,1,1,0,0
429,2021-05-18,20,1,1,0,0
430,2021-05-19,20,1,1,0,0
431,2021-05-20,20,1,1,0,0
432,2021-05-21,20,1,1,0,0
433,2021-05-22,20,1,1,1,0
434,2021-05-23,20,1,1,1,0
435,2021-05-24,20,1,1,1,0
436,2021-05-25,20,1,1,0,0
437,2021-05-26,20,1,1,0,0
438,2021-05-27,20,1,1,0,0
439,2021-05-28,20,1,1,0,0
440,2021-05-29,20,1,1,0,0
441,2021-05-30,20,1,1,0,0
442,2021-05-31,20,1,1,0,0
443,2021-06-01,20,1,1,0,0
444,2021-06-02,20,1,1,0,0
445,2021-06-03,20,1,1,0,0
446,2021-06-04,20,1,1,0,0
447,2021-06-05,20,1,1,0,0
448,2021-06-06,20,1,1,0,0
449,2021-06-07,20,1,1,0,0
450,2021-06-08,20,1,1,0,0
451,2021-06-09,20,1,1,0,0
452,2021-06-10,20,1,1,0,0
453,2021-06-11,20,1,1,0,0
454,2021-06-12,20,1,1,0,0
455,2021-06-13,20,1,1,0,0
456,2021-06-14,20,1,1,0,0
457,2021-06-15,20,1,1,0,0
